time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-4.609759751104355e-05,0.003720036952844508,0.0008876521907809134,7.723273435928612e-05,0.00011142391043529355,-0.00011160131915497552,968.9277517343685
1.0,-0.001850155696512546,0.007416753373671379,0.00453959484524697,0.007577897596216545,-0.005989886583950976,0.007360520486156177,968.9277517343685
2.0,-0.006704094412960208,0.008454362688637793,0.010476371008338667,0.020237172629661973,-0.015587599883339567,0.017601197894120627,968.9277517343685
3.0,-0.014400265854141999,0.006309122463931324,0.01549456504400223,0.03427903926259635,-0.027693042961852724,0.0293001951562552,968.9277517343685
4.0,-0.02437828115698097,0.0009227972845154342,0.017881384464152696,0.048918303604803356,-0.04005245013199871,0.042847736288073236,968.9277517343685
5.0,-0.0361985763555919,-0.0072414433364904485,0.017206090913793774,0.0632366585215298,-0.05301708193921707,0.05794769868518634,968.9277517343685
6.0,-0.04939025332080739,-0.017480846559761187,0.013971292590263402,0.07788737037344096,-0.06709498840552021,0.07393052281889563,968.9277517343685
7.0,-0.06358574597354295,-0.02881557110714758,0.008421457402827412,0.09261097631243582,-0.0814241892740416,0.0901800298324063,968.9277517343685
8.0,-0.0785761642075055,-0.04059113980769233,0.0009050543422661774,0.10739141894287259,-0.0961965821008954,0.10574920405312604,968.9277517343685
9.0,-0.09415077949065818,-0.05268112740982301,-0.007872327842665453,0.12243187345196692,-0.11106691506591332,0.12057930860851619,968.9277517343685
10.0,-0.11012906046515851,-0.06505583226441046,-0.01730104465066,0.1376443292129802,-0.12607562521203866,0.13496933788538054,968.9277517343685
11.0,-0.126359106052574,-0.07729142129335212,-0.02724390785134157,0.1531284629929206,-0.14133971206828888,0.14942001552045997,968.9277517343685
12.0,-0.1427197480268855,-0.08906248944651765,-0.03742927230625953,0.16900070369145487,-0.15686225254760794,0.16422954548453134,968.9277517343685
13.0,-0.15908463049651764,-0.10008701581229656,-0.04787217867297358,0.1852529947951674,-0.17236938400429602,0.17923323735795232,968.9277517343685
14.0,-0.17533865358670903,-0.11044493416074325,-0.05834875520617099,0.2015742087393408,-0.18792338120059543,0.19390454990953376,968.9277517343685
15.0,-0.19150215628522688,-0.12016173369072868,-0.0689155045691382,0.2166270616733633,-0.20370949191879897,0.2085561892986664,968.9277517343685
16.0,-0.2076651419758954,-0.12924361313800237,-0.07940248425098409,0.22910567549092098,-0.21979530420625432,0.2232949746505267,968.9277517343685
17.0,-0.22384069986694,-0.13783915171657474,-0.08947315761294025,0.23856037268920072,-0.2358615996642684,0.23801503238069352,968.9277517343685
18.0,-0.23990263449189025,-0.14599226837527018,-0.09918183262326637,0.24516054651375968,-0.25196621485214604,0.25288589057609806,968.9277517343685
19.0,-0.2557265025928941,-0.15355823902963722,-0.10867027306491434,0.2492021269360231,-0.26819756055425636,0.2676279622766054,968.9277517343685
20.0,-0.27127137569466875,-0.16047685494325897,-0.1180666496828069,0.2509869277559445,-0.2845909408989246,0.28239292862737697,968.9277517343685
21.0,-0.2865753641060143,-0.16680560012807216,-0.12744541593907077,0.25120164238952675,-0.3011246421878605,0.2972789248097041,968.9277517343685
22.0,-0.3016917259540154,-0.17265015016858845,-0.1367214446935051,0.25008090880168965,-0.31774937801418385,0.31235063053389656,968.9277517343685
23.0,-0.3167088307796484,-0.1780956302373545,-0.14588410637660054,0.2477311038701938,-0.33433643202856883,0.327384659609858,968.9277517343685
24.0,-0.3317254049242699,-0.18315810667731772,-0.15496365187630445,0.24426778130737414,-0.35084778300437724,0.3422444761498691,968.9277517343685
25.0,-0.3468048710502554,-0.18795518697770047,-0.16394583426538556,0.23989090199520313,-0.3673364401824837,0.35690045105248425,968.9277517343685
26.0,-0.36194697454197505,-0.19311749828021763,-0.1726379614657715,0.23935571433980327,-0.38340950723163875,0.3714679677622703,968.9277517343685
27.0,-0.3771742152366638,-0.19872459583428542,-0.18129644039119297,0.24005737761112028,-0.3993403623090032,0.3860626053867636,968.9277517343685
28.0,-0.39251887606023483,-0.2046453486664419,-0.1900985977832704,0.24089219560317396,-0.4152927738713254,0.4006764475376539,968.9277517343685
29.0,-0.40798149628809777,-0.2107302145334834,-0.19918616469204134,0.24150788719664948,-0.4313121294947623,0.4153787892670531,968.9277517343685
30.0,-0.42353408628909234,-0.2168628721048842,-0.2085879799839947,0.24169079668724153,-0.4473839990653042,0.4301856679919923,968.9277517343685
31.0,-0.43914089280067636,-0.22294444076359785,-0.21827025179711892,0.24139252822864712,-0.4634757841288843,0.4450986829851385,968.9277517343685
32.0,-0.4547776682267713,-0.22890275195499402,-0.22817213507926262,0.24062031329073977,-0.47966637339113477,0.46008277849525675,968.9277517343685
33.0,-0.470407050291507,-0.23467423896886472,-0.23825197391477668,0.23928300308753653,-0.49592272579445057,0.475107548589398,968.9277517343685
34.0,-0.4859983106582259,-0.2402057872752584,-0.2484519913057314,0.23731182337162499,-0.5122683768535351,0.4900884267999053,968.9277517343685
35.0,-0.5015458796645167,-0.24547862477831392,-0.25872371598578636,0.2347731905190675,-0.5285141344153527,0.505006268838189,968.9277517343685
36.0,-0.5170452119685631,-0.2505122796918269,-0.26907304708600976,0.23165525700338033,-0.5446599928034732,0.5197487037830024,968.9277517343685
37.0,-0.5325032552680612,-0.2553387715428201,-0.27951975025770837,0.22789968647401324,-0.5607403136296122,0.53435492815064,968.9277517343685
38.0,-0.5479351073458603,-0.2600097914463794,-0.29005188476883154,0.2235345755074931,-0.5767800202808183,0.5487550123477775,968.9277517343685
39.0,-0.5633233740584577,-0.26453456114242213,-0.30066252424457707,0.21860158522177947,-0.59289735654804,0.563007663936719,968.9277517343685
40.0,-0.5786480677974044,-0.26888168030526216,-0.3113270647106964,0.21321869628627352,-0.609088075065385,0.5772034088297314,968.9277517343685
41.0,-0.5938897629800449,-0.27303251752790086,-0.32198101673312934,0.20737107883752642,-0.6252637901055244,0.591358713541115,968.9277517343685
42.0,-0.6090250327065535,-0.27694007509776364,-0.33260671239292605,0.20097218355765437,-0.641336078399928,0.6054920043148501,968.9277517343685
43.0,-0.6240325240012408,-0.28053987793471336,-0.3431627277703674,0.1939689721476111,-0.6573930829530518,0.619614014469787,968.9277517343685
44.0,-0.6389102203679445,-0.28375180500906727,-0.3536536562046004,0.1864553573210672,-0.673414244971781,0.6338246344830242,968.9277517343685
45.0,-0.6536298659432448,-0.28653067825515094,-0.3640830188705114,0.17837580667390002,-0.6893753422708229,0.6481049798978633,968.9277517343685
46.0,-0.6681822439303977,-0.2888953967457081,-0.37445378476016067,0.16971590534582284,-0.7053233569918793,0.6624431634416771,968.9277517343685
47.0,-0.6825871783293626,-0.29096642076259555,-0.38469211464860387,0.1604587477273154,-0.7212251447024633,0.6768161682571463,968.9277517343685
48.0,-0.696824838121336,-0.2928668930251528,-0.3947836002869441,0.15058288675181597,-0.7370895375622029,0.6912180537323335,968.9277517343685
49.0,-0.7108209326957016,-0.29464797182085967,-0.40471569357006465,0.14011766464880668,-0.7529589702030716,0.7055414210514244,968.9277517343685
50.0,-0.7244922883932546,-0.2963270134922186,-0.4144167990764017,0.1290621587971145,-0.7687273858745836,0.7195910140842045,968.9277517343685
51.0,-0.7377597942147343,-0.29789042580546826,-0.4238131995590825,0.11736998556342851,-0.7844717934343667,0.733480604630121,968.9277517343685
52.0,-0.750628467196807,-0.2993300428163496,-0.43290918779145887,0.10508705840933066,-0.8002112940785219,0.7470980108479589,968.9277517343685
53.0,-0.7631616928456066,-0.30065838972335207,-0.4417798532118663,0.09217168638977917,-0.8157997018846326,0.7605931551530869,968.9277517343685
54.0,-0.7754161984288253,-0.30186226093554974,-0.4504904645887515,0.0788442615361278,-0.8312619416605221,0.773943244892278,968.9277517343685
55.0,-0.7873879631258266,-0.3029234903640698,-0.4590771515589594,0.06541251424513667,-0.84663758390541,0.7869410702463502,968.9277517343685
56.0,-0.7990557444531312,-0.30386877571760745,-0.46754367515677353,0.051968047921665095,-0.8618063263621155,0.7995090707882831,968.9277517343685
57.0,-0.8103858641204058,-0.3046994876484644,-0.4758947185906603,0.03862584186340329,-0.8766964897451179,0.8115290665886061,968.9277517343685
58.0,-0.8213609372620421,-0.30540721383525804,-0.4841946470895264,0.02544997255815666,-0.8912667406654617,0.8231821180661295,968.9277517343685
59.0,-0.8320117330459902,-0.3059785912215505,-0.4924819333066814,0.012645772620401657,-0.9055923305839643,0.8343754972431563,968.9277517343685
