time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-0.0005124332527061061,0.014909627791255983,0.004060361993882302,0.00012370225049388806,-1.1967880324300545e-05,8.32375115109478e-05,962.3148215008274
1.0,0.0023808868685434503,0.016100097543483155,0.003633663896277753,-0.009489296324437402,0.01175551339231037,0.008644517143198773,962.3148215008274
2.0,0.0005963458290679742,0.012332759650161163,-0.002551019422568973,-0.02268518125724937,0.02416932268085727,0.022198292065653786,962.3148215008274
3.0,-0.005955092701004244,0.004128731903750577,-0.01322435737192282,-0.03252829841605088,0.03447968326516221,0.03690480722613254,962.3148215008274
4.0,-0.01588990479530156,-0.0071498749406037525,-0.02617652111645538,-0.04256203431431251,0.04281776817342289,0.05116372355939272,962.3148215008274
5.0,-0.028090102121657575,-0.020240077394758166,-0.03883974109835719,-0.05324519806119744,0.047814848337042325,0.06571245294184727,962.3148215008274
6.0,-0.04097891510237684,-0.03387448634816113,-0.051974807087661876,-0.06254888772670521,0.04810385443922748,0.08018954978117443,962.3148215008274
7.0,-0.05360968303009675,-0.04719347716016744,-0.06595029692899068,-0.07290081829484615,0.04568608394533457,0.09563523817339374,962.3148215008274
8.0,-0.06680966184933473,-0.05775915290226531,-0.0800307775482985,-0.08479485396434894,0.040641813376288555,0.11157006656302791,962.3148215008274
9.0,-0.08085205111931854,-0.06560899802758062,-0.09435656179046169,-0.09804251881336207,0.033076846035089424,0.12721407805570856,962.3148215008274
10.0,-0.0946865693510681,-0.07295920199480674,-0.10914352003862356,-0.11036385327314566,0.024552903516259515,0.14327224117472823,962.3148215008274
11.0,-0.10837527699371728,-0.07901225662636067,-0.12433759233191997,-0.12289739486717179,0.01557194747956053,0.1596539246952346,962.3148215008274
12.0,-0.12185840887293303,-0.0839509196733589,-0.13969368641247057,-0.13554924197230384,0.006346894441445459,0.1761308210664449,962.3148215008274
13.0,-0.13482258531536698,-0.08799788217199228,-0.1547721350720083,-0.14871296153775068,-0.002998179817613579,0.1921818724738585,962.3148215008274
14.0,-0.14702320629875176,-0.09139202670089895,-0.16976921045704033,-0.1620655618903072,-0.012561416360357635,0.2082502767066766,962.3148215008274
15.0,-0.15889144110664524,-0.09425854169038778,-0.1846434555971811,-0.1753327068221457,-0.022460781174367818,0.22437940651109192,962.3148215008274
16.0,-0.17085817592377212,-0.09661137530989782,-0.19964572455705443,-0.18892007324171248,-0.03295072494144349,0.24079451005342656,962.3148215008274
