episode,SD
1.0,0.099
2.0,0.09801
3.0,0.0970299
4.0,0.096059601
5.0,0.09509900499
6.0,0.0941480149401
7.0,0.093206534790699
8.0,0.092274469442792
9.0,0.09135172474836407
10.0,0.09043820750088044
11.0,0.08953382542587163
12.0,0.08863848717161292
13.0,0.08775210229989679
14.0,0.08687458127689782
15.0,0.08600583546412884
16.0,0.08514577710948755
17.0,0.08429431933839267
18.0,0.08345137614500875
19.0,0.08261686238355866
20.0,0.08179069375972307
21.0,0.08097278682212583
22.0,0.08016305895390458
23.0,0.07936142836436554
24.0,0.07856781408072189
25.0,0.07778213593991466
26.0,0.07700431458051551
27.0,0.07623427143471036
28.0,0.07547192872036325
29.0,0.07471720943315961
30.0,0.07397003733882802
31.0,0.07323033696543974
32.0,0.07249803359578534
33.0,0.07177305325982748
34.0,0.07105532272722921
35.0,0.07034476949995692
36.0,0.06964132180495734
37.0,0.06894490858690777
38.0,0.0682554595010387
39.0,0.06757290490602831
40.0,0.06689717585696803
41.0,0.06622820409839834
42.0,0.06556592205741436
43.0,0.06491026283684022
44.0,0.06426116020847182
45.0,0.06361854860638709
46.0,0.06298236312032322
47.0,0.06235253948912
48.0,0.0617290140942288
49.0,0.06111172395328651
50.0,0.06050060671375365
51.0,0.059895600646616115
52.0,0.05929664464014994
53.0,0.05870367819374844
54.0,0.05811664141181096
55.0,0.05753547499769285
56.0,0.05696012024771592
57.0,0.056390519045238764
58.0,0.05582661385478638
59.0,0.05526834771623851
60.0,0.054715664239076124
61.0,0.05416850759668536
62.0,0.0536268225207185
63.0,0.05309055429551132
64.0,0.0525596487525562
65.0,0.05203405226503064
66.0,0.051513711742380335
67.0,0.05099857462495653
68.0,0.05048858887870697
69.0,0.049983702989919894
70.0,0.0494838659600207
71.0,0.04898902730042049
72.0,0.04849913702741629
73.0,0.04801414565714213
74.0,0.047534004200570704
75.0,0.047058664158564995
76.0,0.04658807751697935
77.0,0.046122196741809555
78.0,0.04566097477439146
79.0,0.04520436502664754
80.0,0.04475232137638107
81.0,0.04430479816261726
82.0,0.04386175018099109
83.0,0.04342313267918117
84.0,0.042988901352389364
85.0,0.04255901233886547
86.0,0.042133422215476814
87.0,0.041712087993322045
88.0,0.04129496711338883
89.0,0.04088201744225494
90.0,0.04047319726783239
91.0,0.040068465295154065
92.0,0.03966778064220253
93.0,0.0392711028357805
94.0,0.038878391807422696
95.0,0.03848960788934847
96.0,0.03810471181045499
97.0,0.03772366469235044
98.0,0.03734642804542693
99.0,0.03697296376497266
100.0,0.03660323412732293
101.0,0.036237201786049694
102.0,0.0358748297681892
103.0,0.035516081470507305
104.0,0.03516092065580223
105.0,0.03480931144924421
106.0,0.03446121833475176
107.0,0.034116606151404244
108.0,0.0337754400898902
109.0,0.033437685688991296
110.0,0.033103308832101386
111.0,0.032772275743780374
112.0,0.03244455298634257
113.0,0.03212010745647914
114.0,0.03179890638191435
115.0,0.03148091731809521
116.0,0.031166108144914252
117.0,0.03085444706346511
118.0,0.030545902592830455
119.0,0.03024044356690215
120.0,0.029938039131233125
121.0,0.029638658739920793
122.0,0.029342272152521588
123.0,0.029048849430996372
124.0,0.028758360936686406
125.0,0.028470777327319542
126.0,0.028186069554046345
127.0,0.02790420885850588
128.0,0.027625166769920825
129.0,0.027348915102221618
130.0,0.0270754259511994
131.0,0.026804671691687404
132.0,0.02653662497477053
133.0,0.026271258725022825
134.0,0.026008546137772592
135.0,0.02574846067639487
136.0,0.025490976069630925
137.0,0.025236066308934615
138.0,0.024983705645845268
139.0,0.024733868589386816
140.0,0.024486529903492947
141.0,0.024241664604458018
142.0,0.023999247958413437
143.0,0.023759255478829303
144.0,0.02352166292404101
145.0,0.023286446294800603
146.0,0.023053581831852594
147.0,0.02282304601353407
148.0,0.02259481555339873
149.0,0.022368867397864742
150.0,0.022145178723886095
151.0,0.021923726936647236
152.0,0.021704489667280762
153.0,0.021487444770607954
154.0,0.021272570322901876
155.0,0.021059844619672856
156.0,0.020849246173476128
157.0,0.02064075371174137
158.0,0.020434346174623953
159.0,0.020230002712877712
160.0,0.020027702685748938
161.0,0.019827425658891448
162.0,0.019629151402302532
163.0,0.019432859888279506
164.0,0.01923853128939671
165.0,0.019046145976502744
166.0,0.018855684516737716
167.0,0.018667127671570336
168.0,0.018480456394854634
169.0,0.018295651830906087
170.0,0.018112695312597026
171.0,0.017931568359471056
